Make,Model,Year,Color,Price,Horsepower,FuelEconomy,Trim
Chevrolet,Tahoe,2022,Black,60348,420,16,High Country
Chevrolet,Tahoe,2020,Blue,49186,420,16,High Country
Volkswagen,Tiguan,2025,Yellow,29901,184,27,S
Ram,1500,2022,White,74846,702,12,TRX
Volkswagen,Tiguan,2021,Charcoal,19302,184,27,S
Chevrolet,Corvette,2024,Blue,72906,490,19,Stingray 3LT
Tesla,Model S,2024,White,67806,670,120,Long Range
Mercedes-Benz,C-Class,2024,Grey,54550,402,22,AMG C 43
Audi,A4,2022,Silver,44057,349,24,S4
Ford,F-150,2020,Matte Black,25242,325,20,XL
Audi,Q5,2022,Green,42783,349,21,SQ5
Jeep,Grand Cherokee,2023,Orange,39635,293,22,Limited
Volkswagen,Tiguan,2020,Blue,20482,184,27,SE
BMW,X5,2025,Matte Black,72100,483,58,xDrive50e
Tesla,Model S,2024,Black,83092,1020,116,Plaid
Nissan,Rogue,2024,Black,25301,201,33,S
Ram,1500,2023,Black,81153,702,12,TRX
Jeep,Grand Cherokee,2023,Matte Black,39823,293,22,Limited
BMW,3 Series,2024,Yellow,51595,382,26,M340i
Subaru,Crosstrek,2022,Burgundy,21653,182,29,Sport
Hyundai,Elantra,2023,Pearl White,21848,147,34,SEL
Ford,F-150,2023,Yellow,40981,325,20,XLT
Kia,K5,2024,Grey,26733,180,31,GT-Line
Nissan,Rogue,2025,Matte Black,28982,201,33,SV
Honda,Pilot,2023,Black,39350,285,20,TrailSport
Kia,K5,2024,Yellow,24737,180,31,LXS
Volkswagen,Jetta,2024,Yellow,21338,158,34,S
BMW,3 Series,2025,Pearl White,56798,382,26,M340i
Tesla,Model Y,2022,Pearl White,37220,384,122,Long Range
Mercedes-Benz,C-Class,2025,Pearl White,46175,255,30,C 300
Jeep,Wrangler,2022,Yellow,38456,285,17,Rubicon
Chevrolet,Silverado 1500,2020,Grey,31621,310,20,LT
Nissan,Rogue,2020,Matte Black,18839,201,33,S
Nissan,Rogue,2022,Orange,24342,201,33,S
Chevrolet,Silverado 1500,2021,Charcoal,35670,310,20,LT
Nissan,Altima,2023,Charcoal,21691,188,32,S
Tesla,Model S,2020,Black,48708,670,120,Long Range
Hyundai,Tucson,2025,Pearl White,32328,226,38,Hybrid Blue
Ford,F-150,2022,Pearl White,62847,450,16,Raptor
Ram,1500,2021,Matte Black,46472,395,22,Limited
Mercedes-Benz,C-Class,2024,Yellow,54184,402,22,AMG C 43
Chevrolet,Tahoe,2024,Green,50303,355,17,LS
Jeep,Wrangler,2025,Grey,33495,285,20,Sport
Toyota,Tacoma,2020,Midnight Blue,26781,278,20,TRD Sport
Volkswagen,Tiguan,2021,White,20675,184,27,SE
BMW,X5,2023,Burgundy,62255,483,58,xDrive50e
Kia,Telluride,2021,Black,29137,291,23,S
Ford,Bronco,2024,Blue,42112,275,20,Outer Banks
Kia,K5,2025,Burgundy,27242,180,31,LXS
Hyundai,Elantra,2022,Orange,17753,147,34,SEL
Audi,A4,2022,Matte Black,37437,261,28,Premium Plus 45
Ram,1500,2021,Yellow,37740,395,22,Laramie
Hyundai,Tucson,2024,Matte Black,31373,226,38,Hybrid Blue
Chevrolet,Corvette,2022,Charcoal,54728,490,19,Stingray 1LT
Subaru,Outback,2023,Green,26071,182,28,Base
Audi,Q5,2024,Yellow,40851,201,26,Premium 40
Kia,Telluride,2020,Blue,24976,291,23,LX
Kia,Telluride,2023,Orange,31668,291,23,LX
Tesla,Model 3,2023,Midnight Blue,31373,279,132,RWD
Audi,Q5,2021,Charcoal,34199,201,26,Premium 40
Subaru,Outback,2023,Yellow,28229,182,28,Premium
Honda,Civic,2023,Burgundy,21726,158,35,LX
Kia,K5,2024,Pearl White,23037,180,31,GT-Line
Hyundai,Tucson,2021,Blue,22587,187,28,SEL
Mercedes-Benz,C-Class,2021,Matte Black,42246,402,22,AMG C 43
Tesla,Model S,2023,Grey,62390,670,120,Long Range
Chevrolet,Silverado 1500,2021,Yellow,53011,420,15,ZR2
Ram,1500,2020,Green,45264,395,22,Limited
Kia,K5,2025,Matte Black,31889,290,27,GT
Subaru,Crosstrek,2024,Blue,25729,182,29,Sport
Honda,CR-V,2023,Charcoal,26756,190,30,EX
Jeep,Wrangler,2025,White,40112,285,19,Willys
Chevrolet,Corvette,2021,Black,57666,490,19,Stingray 3LT
Toyota,Prius,2024,Matte Black,24135,194,57,LE
Jeep,Grand Cherokee,2023,Matte Black,37636,293,22,Limited
Honda,Civic,2024,Green,26718,180,34,Touring
Kia,K5,2024,Midnight Blue,27534,290,27,GT
Subaru,Crosstrek,2024,Matte Black,21822,152,29,Base
Subaru,Outback,2023,Charcoal,26701,182,28,Premium
Kia,K5,2023,Black,25259,290,27,GT
BMW,3 Series,2020,Grey,49978,473,19,M3
Toyota,Tacoma,2022,Black,31390,278,20,TRD Sport
Chevrolet,Tahoe,2025,Pearl White,61703,355,17,LT
Jeep,Wrangler,2024,Silver,44746,285,17,Rubicon
Mercedes-Benz,C-Class,2020,Green,40239,402,22,AMG C 43
Hyundai,Tucson,2023,Red,23561,187,28,SE
Nissan,Altima,2023,White,29185,248,29,SR VC-Turbo
Audi,Q5,2024,Yellow,47384,261,25,Premium Plus 45
Honda,CR-V,2024,White,30606,190,30,EX
Tesla,Model Y,2025,Grey,52914,456,111,Performance
Ram,1500,2025,Charcoal,98505,702,12,TRX
Audi,A4,2025,Charcoal,45383,261,28,Premium Plus 45
Volkswagen,Jetta,2020,Red,21292,228,30,GLI Autobahn
Audi,Q5,2024,Grey,47857,261,25,Premium Plus 45
Toyota,Camry,2025,Green,26009,203,32,LE
Subaru,Outback,2022,Midnight Blue,29448,260,23,Wilderness
Nissan,Rogue,2024,Pearl White,27217,201,33,S
Hyundai,Elantra,2022,Orange,20374,201,31,N Line
Tesla,Model Y,2023,Silver,40450,384,122,Long Range
Kia,K5,2023,Orange,26435,290,27,GT
Ford,Bronco,2024,Orange,44077,275,20,Outer Banks
Nissan,Rogue,2022,Silver,24578,201,33,SV
Ram,1500,2022,Green,42344,395,22,Laramie
BMW,3 Series,2022,Midnight Blue,44538,382,26,M340i
Honda,Pilot,2020,Grey,27926,285,22,EX-L
BMW,3 Series,2024,Yellow,40426,255,29,330i
Chevrolet,Corvette,2023,Charcoal,65867,490,19,Stingray 3LT
Honda,Pilot,2024,Blue,46802,285,20,TrailSport
Kia,Telluride,2022,Matte Black,26319,291,23,LX
Mercedes-Benz,C-Class,2022,Grey,37668,255,30,C 300
Chevrolet,Corvette,2022,Midnight Blue,58099,490,19,Stingray 2LT
Tesla,Model Y,2024,Yellow,46675,456,111,Performance
Mercedes-Benz,GLE,2023,Burgundy,54760,255,24,GLE 350
Audi,Q5,2025,Grey,58165,349,21,SQ5
Volkswagen,Jetta,2022,Grey,16011,158,34,S
Toyota,RAV4,2022,White,24897,203,30,XLE
Hyundai,Tucson,2023,White,24134,187,28,SE
Chevrolet,Tahoe,2024,Black,49789,355,17,LS
Mercedes-Benz,GLE,2023,Silver,54519,255,24,GLE 350
Honda,Civic,2025,Grey,32109,180,34,Touring
Subaru,Outback,2020,Charcoal,20504,182,28,Premium
Volkswagen,Jetta,2020,Orange,15619,158,34,S
Subaru,Crosstrek,2022,Midnight Blue,19049,152,29,Base
Audi,Q5,2022,Black,43421,349,21,SQ5
Volkswagen,Jetta,2021,Pearl White,16739,158,34,S
Ram,1500,2022,Midnight Blue,33419,305,23,Big Horn
Volkswagen,Tiguan,2023,Grey,25182,184,27,S
Tesla,Model Y,2024,Blue,48208,456,111,Performance
Ford,Mustang,2022,Burgundy,44658,500,17,Dark Horse
Hyundai,Tucson,2021,Midnight Blue,19220,187,28,SE
Chevrolet,Tahoe,2022,Red,44928,355,17,LS
Mercedes-Benz,C-Class,2024,Pearl White,54895,402,22,AMG C 43
BMW,3 Series,2023,Blue,37945,255,29,330i
Hyundai,Elantra,2021,White,24169,276,24,N
Tesla,Model S,2024,Yellow,81830,1020,116,Plaid
Tesla,Model Y,2024,Black,48705,456,111,Performance
Kia,K5,2024,Red,21561,180,31,LXS
Ram,1500,2023,Midnight Blue,81709,702,12,TRX
Audi,A4,2021,Pearl White,32318,261,28,Premium Plus 45
Honda,Civic,2021,Orange,19789,158,33,Sport
Kia,K5,2024,White,26314,180,31,GT-Line
Mercedes-Benz,C-Class,2020,Yellow,41845,402,22,AMG C 43
Toyota,Prius,2020,Orange,21802,194,52,XLE
Toyota,Prius,2024,Pearl White,31149,194,52,Limited
Tesla,Model 3,2021,Yellow,36527,510,113,Performance
BMW,3 Series,2025,Blue,56971,382,26,M340i
Nissan,Rogue,2025,Silver,40831,201,33,Platinum
BMW,3 Series,2024,Blue,40782,255,29,330i
Subaru,Crosstrek,2024,Orange,24998,182,29,Sport
Mercedes-Benz,GLE,2024,Burgundy,64856,375,22,GLE 450
BMW,3 Series,2024,Grey,53843,382,26,M340i
Kia,Telluride,2024,Midnight Blue,34258,291,23,S
Ford,Explorer,2024,Charcoal,46284,400,21,ST
Honda,Civic,2024,Red,26746,180,36,EX
Honda,Pilot,2023,White,34970,285,22,Sport
Subaru,Outback,2023,Silver,22676,182,28,Base
Kia,Telluride,2020,Charcoal,32736,291,23,SX Prestige
Tesla,Model S,2024,Charcoal,70361,670,120,Long Range
Nissan,Rogue,2024,Burgundy,25797,201,33,S
Chevrolet,Corvette,2022,Green,60718,490,19,Stingray 3LT
Jeep,Wrangler,2020,Black,20807,285,20,Sport
Honda,Civic,2024,Green,23023,158,33,Sport
Volkswagen,Tiguan,2023,Matte Black,25166,184,27,SE
Mercedes-Benz,C-Class,2024,Black,43758,255,30,C 300
Hyundai,Tucson,2023,Orange,25720,226,38,Hybrid Blue
Ram,1500,2021,Midnight Blue,37753,395,22,Laramie
Ram,1500,2023,Pearl White,54838,395,22,Limited
BMW,X5,2023,Red,74245,523,19,M60i
Subaru,Outback,2025,Matte Black,39501,260,23,Wilderness
Mercedes-Benz,C-Class,2023,Yellow,50399,402,22,AMG C 43
Tesla,Model S,2021,Burgundy,52870,670,120,Long Range
Ford,Explorer,2022,Blue,35417,300,24,ST-Line
Kia,K5,2020,White,15407,180,31,LXS
Jeep,Wrangler,2025,Grey,46138,285,17,Rubicon
BMW,3 Series,2023,Matte Black,49189,382,26,M340i
Honda,CR-V,2023,Yellow,25151,190,30,EX
Kia,Telluride,2021,Green,28175,291,23,S
Jeep,Wrangler,2023,Green,35285,285,19,Willys
Audi,A4,2025,Silver,47935,261,28,Premium Plus 45
Ram,1500,2020,Black,64583,702,12,TRX
BMW,X5,2025,Silver,89463,523,19,M60i
Nissan,Rogue,2024,White,27557,201,33,S
Nissan,Rogue,2022,Blue,22152,201,33,S
Honda,CR-V,2024,White,28713,190,30,EX
BMW,3 Series,2023,Blue,65940,473,19,M3
Kia,Telluride,2023,Green,31231,291,23,S
Honda,Civic,2023,Burgundy,21024,158,35,LX
Hyundai,Elantra,2021,Black,23470,276,24,N
Mercedes-Benz,GLE,2024,Silver,79231,429,20,AMG GLE 53
Ford,Bronco,2023,Grey,40204,275,20,Outer Banks
Chevrolet,Corvette,2024,Pearl White,63434,490,19,Stingray 1LT
Volkswagen,Tiguan,2022,Orange,25014,184,27,SE
Hyundai,Elantra,2023,Midnight Blue,22432,201,31,N Line
Chevrolet,Corvette,2022,Charcoal,60600,490,19,Stingray 2LT
Honda,Pilot,2021,Burgundy,28654,285,22,EX-L
Chevrolet,Tahoe,2023,Orange,65849,420,16,High Country
Volkswagen,Tiguan,2024,Green,27391,184,27,SE
Nissan,Rogue,2025,Midnight Blue,27300,201,33,S
Honda,CR-V,2024,Red,29896,204,40,Sport Hybrid
Chevrolet,Silverado 1500,2025,White,72332,420,15,ZR2
Toyota,RAV4,2022,Blue,29498,203,28,TRD Off-Road
Jeep,Wrangler,2022,Black,24871,285,20,Sport
Chevrolet,Silverado 1500,2022,Black,40068,355,19,RST
Ram,1500,2022,Silver,41966,395,22,Laramie
Volkswagen,Jetta,2024,Burgundy,17990,158,34,S
Ford,F-150,2022,Grey,35626,325,20,XLT
Toyota,Tacoma,2021,Pearl White,24077,228,21,SR
Audi,Q5,2025,Blue,46572,201,26,Premium 40
Jeep,Grand Cherokee,2024,Blue,33480,293,22,Laredo
BMW,3 Series,2024,Blue,39082,255,29,330i
BMW,X5,2021,Burgundy,63690,523,19,M60i
Mercedes-Benz,C-Class,2022,Matte Black,48845,402,22,AMG C 43
Chevrolet,Tahoe,2025,Blue,54259,355,17,LS
Nissan,Rogue,2024,Yellow,27100,201,33,SV
Kia,Telluride,2024,Matte Black,31647,291,23,LX
Hyundai,Tucson,2024,Matte Black,30229,226,38,Hybrid Blue
Hyundai,Elantra,2025,Red,29852,201,31,N Line
Audi,Q5,2024,Pearl White,46718,261,25,Premium Plus 45
Nissan,Altima,2020,Black,17294,188,32,SR
Volkswagen,Jetta,2022,Green,18135,158,34,S
Nissan,Altima,2020,Charcoal,23507,248,29,SR VC-Turbo
Chevrolet,Corvette,2024,White,68904,490,19,Stingray 2LT
Honda,CR-V,2022,Green,22534,190,30,LX
Ram,1500,2023,Grey,45187,395,22,Laramie
BMW,3 Series,2024,White,70011,473,19,M3
Chevrolet,Tahoe,2020,Grey,39631,355,17,LT
BMW,X5,2024,Blue,59139,375,25,sDrive40i
Nissan,Altima,2024,Charcoal,34816,248,29,SR VC-Turbo
BMW,3 Series,2024,Matte Black,71727,473,19,M3
Volkswagen,Tiguan,2023,Grey,27431,184,27,SE
Chevrolet,Tahoe,2024,Blue,71950,420,16,High Country
Jeep,Grand Cherokee,2020,White,24023,293,22,Laredo
Subaru,Crosstrek,2022,Red,23637,182,29,Limited
BMW,X5,2024,Grey,65390,483,58,xDrive50e
Audi,A4,2021,Silver,29214,201,30,Premium 40
Mercedes-Benz,C-Class,2020,Black,30541,255,30,C 300
Ram,1500,2020,Charcoal,41691,395,22,Limited
Ford,Explorer,2022,Black,36308,300,24,ST-Line
Jeep,Wrangler,2023,Grey,39908,285,17,Rubicon
Hyundai,Tucson,2024,Blue,25914,187,28,SEL
Audi,A4,2020,Blue,34160,349,24,S4
Jeep,Grand Cherokee,2023,Red,37952,293,22,Limited
Mercedes-Benz,GLE,2022,Yellow,50451,255,24,GLE 350
Jeep,Wrangler,2022,Silver,26294,285,20,Sport
Mercedes-Benz,C-Class,2021,Black,44040,402,22,AMG C 43
BMW,3 Series,2023,Charcoal,63034,473,19,M3
Chevrolet,Tahoe,2021,Orange,55555,420,16,High Country
Nissan,Rogue,2020,Black,20053,201,33,SV
Volkswagen,Jetta,2023,White,17327,158,34,S
Subaru,Crosstrek,2024,Pearl White,28405,182,29,Limited
Subaru,Crosstrek,2024,Grey,24538,152,29,Base
Hyundai,Tucson,2023,Red,24486,187,28,SEL
Toyota,Prius,2020,Midnight Blue,21495,194,52,Limited
Subaru,Outback,2024,Silver,37889,260,26,Onyx Edition XT
Ram,1500,2023,Green,45299,395,22,Laramie
BMW,X5,2025,Blue,90471,523,19,M60i
Honda,Pilot,2025,Grey,40643,285,22,Sport
Toyota,Tacoma,2021,Blue,27867,278,20,TRD Sport
Tesla,Model Y,2022,Midnight Blue,39909,456,111,Performance
Audi,Q5,2024,Orange,51450,349,21,SQ5
Chevrolet,Tahoe,2022,Charcoal,42500,355,17,LS
Tesla,Model S,2022,Black,68121,1020,116,Plaid
Nissan,Rogue,2020,Orange,23799,201,33,Platinum
Nissan,Rogue,2024,White,37646,201,33,Platinum
Jeep,Grand Cherokee,2024,Orange,40323,293,22,Limited
Ford,Mustang,2023,Red,25619,315,26,EcoBoost
Ram,1500,2020,Grey,28198,305,23,Big Horn
Tesla,Model 3,2024,Pearl White,50336,510,113,Performance
Nissan,Altima,2020,Orange,18177,188,32,S
Nissan,Altima,2024,Blue,24900,188,32,S
Toyota,Tacoma,2024,Yellow,37980,278,20,TRD Off-Road
Audi,Q5,2024,Matte Black,43470,201,26,Premium 40
Audi,A4,2024,Blue,49679,349,24,S4
Audi,Q5,2024,Black,52285,349,21,SQ5
Mercedes-Benz,GLE,2025,Black,68906,375,22,GLE 450
Toyota,Tacoma,2025,Green,51839,278,21,Limited
Hyundai,Tucson,2024,Orange,26095,187,28,SEL
Chevrolet,Silverado 1500,2024,Orange,42354,310,20,LT
Mercedes-Benz,C-Class,2023,Red,39465,255,30,C 300
Chevrolet,Corvette,2025,Green,69941,490,19,Stingray 1LT
Ford,F-150,2022,White,28680,325,20,XL
Chevrolet,Tahoe,2022,Charcoal,45011,355,17,LS
Mercedes-Benz,GLE,2024,Orange,64465,375,22,GLE 450
Jeep,Grand Cherokee,2020,Matte Black,22560,293,22,Laredo
Toyota,Prius,2022,Yellow,28118,194,52,Limited
BMW,3 Series,2024,Green,70564,473,19,M3
Honda,Pilot,2021,Midnight Blue,29077,285,22,Sport
Hyundai,Elantra,2025,Burgundy,22639,147,36,SE
Mercedes-Benz,GLE,2024,Midnight Blue,78192,429,20,AMG GLE 53
BMW,X5,2024,Blue,58628,375,25,sDrive40i
Honda,CR-V,2022,Silver,25639,204,40,Sport Hybrid
Ram,1500,2023,Orange,34025,305,23,Tradesman
Mercedes-Benz,GLE,2025,Matte Black,68876,375,22,GLE 450
Chevrolet,Silverado 1500,2025,Charcoal,38002,310,20,WT
Toyota,Prius,2025,Matte Black,27175,194,57,LE
Ford,Mustang,2024,Grey,55555,500,17,Dark Horse
Tesla,Model Y,2020,White,35175,456,111,Performance
Tesla,Model 3,2023,Red,43986,510,113,Performance
Chevrolet,Silverado 1500,2021,Green,28104,310,20,WT
Volkswagen,Jetta,2023,Grey,16513,158,34,S
Hyundai,Elantra,2024,Orange,26036,201,31,N Line
Volkswagen,Jetta,2024,Orange,17915,158,34,S
Ford,Mustang,2023,Blue,37156,480,18,GT
Mercedes-Benz,C-Class,2025,White,48335,255,30,C 300
Hyundai,Elantra,2021,Burgundy,18650,147,34,SEL
Chevrolet,Tahoe,2023,Matte Black,66151,420,16,High Country
Volkswagen,Jetta,2024,Matte Black,18513,158,34,S
Hyundai,Tucson,2023,Orange,23340,187,28,SEL
Hyundai,Elantra,2020,White,13979,147,34,SEL
Ram,1500,2025,Burgundy,56041,395,22,Laramie
BMW,3 Series,2021,Green,56314,473,19,M3
Nissan,Altima,2021,Green,25338,248,29,SR VC-Turbo
Tesla,Model S,2023,Yellow,63416,670,120,Long Range
Toyota,Camry,2023,Red,21402,203,32,LE
Audi,Q5,2024,Blue,52514,349,21,SQ5
Nissan,Altima,2021,White,24620,248,29,SR VC-Turbo
Chevrolet,Silverado 1500,2024,Midnight Blue,34915,310,20,WT
Chevrolet,Silverado 1500,2021,Matte Black,35867,310,20,LT
Ram,1500,2020,Black,28217,305,23,Big Horn
Chevrolet,Tahoe,2020,White,35946,355,17,LS
Mercedes-Benz,GLE,2024,Yellow,57738,255,24,GLE 350
Subaru,Outback,2024,Silver,36708,260,26,Onyx Edition XT
Toyota,Tacoma,2022,Pearl White,38573,278,21,Limited
Hyundai,Elantra,2020,Pearl White,20706,201,31,N Line
BMW,X5,2023,Green,62665,483,58,xDrive50e
Volkswagen,Tiguan,2022,Burgundy,22341,184,27,S
Chevrolet,Tahoe,2024,Blue,55066,355,17,LT
Honda,CR-V,2024,Yellow,31533,204,40,Sport Hybrid
Tesla,Model S,2022,White,71372,1020,116,Plaid
Kia,Telluride,2022,Black,29911,291,23,S
Toyota,Tacoma,2025,Charcoal,32329,228,21,SR
Hyundai,Tucson,2021,Grey,23308,226,38,Hybrid Blue
Ram,1500,2022,Charcoal,30765,305,23,Tradesman
Jeep,Grand Cherokee,2024,Silver,41845,293,22,Limited
Audi,Q5,2020,Blue,30937,201,26,Premium 40
Nissan,Altima,2020,Black,19950,188,32,SR
Jeep,Wrangler,2024,Orange,85438,470,14,Rubicon 392
Honda,CR-V,2020,Charcoal,20413,190,30,LX
BMW,3 Series,2024,Pearl White,68205,473,19,M3
Ram,1500,2024,White,50780,395,22,Laramie
Honda,CR-V,2024,Matte Black,28800,190,30,EX
Honda,CR-V,2023,Grey,28168,204,40,Sport Hybrid
Subaru,Outback,2022,Green,30468,260,26,Onyx Edition XT
Audi,A4,2021,Silver,34209,261,28,Premium Plus 45
Subaru,Crosstrek,2024,Yellow,27029,182,29,Limited
BMW,X5,2023,Black,76385,523,19,M60i
Ford,F-150,2023,Green,29584,325,20,XL
Jeep,Grand Cherokee,2024,Burgundy,41200,293,22,Limited
Volkswagen,Jetta,2023,Orange,18606,158,34,S
Tesla,Model 3,2023,Grey,44578,510,113,Performance
Ram,1500,2022,Red,49718,395,22,Limited
Honda,Civic,2025,Burgundy,27766,180,36,EX
Jeep,Grand Cherokee,2024,Red,43662,293,22,Limited
Mercedes-Benz,GLE,2024,White,64666,375,22,GLE 450
Ford,Bronco,2021,Red,37385,275,17,Badlands
Kia,K5,2022,Silver,17953,180,31,LXS
BMW,3 Series,2024,Matte Black,69881,473,19,M3
Toyota,RAV4,2024,Red,31306,203,28,Adventure
Hyundai,Elantra,2024,White,32185,276,24,N
Volkswagen,Jetta,2020,Yellow,22785,228,30,GLI Autobahn
BMW,3 Series,2024,Blue,53543,382,26,M340i
Ford,Explorer,2020,Yellow,33144,400,21,ST
Nissan,Altima,2022,Matte Black,28401,248,29,SR VC-Turbo
Volkswagen,Tiguan,2021,Midnight Blue,21096,184,27,S
Ford,Mustang,2023,Midnight Blue,51535,500,17,Dark Horse
Kia,Telluride,2024,Black,32367,291,23,LX
Tesla,Model Y,2020,Yellow,35479,456,111,Performance
Nissan,Altima,2023,Burgundy,28675,248,29,SR VC-Turbo
Tesla,Model S,2023,Pearl White,63688,670,120,Long Range
Mercedes-Benz,C-Class,2024,Burgundy,42997,255,30,C 300
Subaru,Outback,2022,Black,30756,260,23,Wilderness
Mercedes-Benz,GLE,2024,Red,79232,429,20,AMG GLE 53
Jeep,Wrangler,2024,Midnight Blue,38420,285,19,Willys
Hyundai,Elantra,2023,Yellow,29056,276,24,N
Kia,Telluride,2022,Yellow,41024,291,23,SX Prestige
Volkswagen,Tiguan,2023,Green,27719,184,27,SE
Kia,Telluride,2024,Matte Black,33988,291,23,S
Ram,1500,2024,Charcoal,35532,305,23,Tradesman
Subaru,Outback,2024,Matte Black,28562,182,28,Base
Ram,1500,2022,Yellow,29232,305,23,Tradesman
Subaru,Outback,2025,Green,32133,182,28,Premium
Toyota,Camry,2024,Green,23623,203,32,LE
Ford,Bronco,2024,Pearl White,44921,275,17,Badlands
Ford,Bronco,2023,Silver,32999,275,20,Big Bend
Tesla,Model Y,2023,Red,39747,384,122,Long Range
Subaru,Outback,2024,Grey,27091,182,28,Base
Audi,A4,2021,Midnight Blue,29504,201,30,Premium 40
Subaru,Crosstrek,2022,Black,17994,152,29,Base
Jeep,Grand Cherokee,2024,Midnight Blue,35197,293,22,Laredo
Chevrolet,Tahoe,2024,Orange,56175,355,17,LT
Hyundai,Elantra,2025,Orange,21145,147,36,SE
Ford,F-150,2022,Black,49771,400,20,Lariat
Chevrolet,Tahoe,2023,Grey,50345,355,17,LT
Tesla,Model Y,2023,White,45540,456,111,Performance
Chevrolet,Silverado 1500,2022,Blue,40595,355,19,RST
Honda,Pilot,2025,Matte Black,39691,285,22,Sport
Toyota,RAV4,2022,Pearl White,22752,203,30,XLE
Honda,Civic,2024,Charcoal,23556,180,36,EX
Mercedes-Benz,C-Class,2024,White,54219,402,22,AMG C 43
Jeep,Wrangler,2020,Green,60563,470,14,Rubicon 392
Chevrolet,Corvette,2023,Matte Black,56556,490,19,Stingray 1LT
Mercedes-Benz,C-Class,2022,Yellow,45885,402,22,AMG C 43
Volkswagen,Jetta,2022,White,25343,228,30,GLI Autobahn
Subaru,Crosstrek,2025,Yellow,29428,182,29,Limited
Kia,K5,2022,Midnight Blue,25896,290,27,GT
Subaru,Crosstrek,2022,White,24094,182,29,Sport
Honda,Pilot,2020,Yellow,28948,285,22,EX-L
Toyota,RAV4,2023,Red,30946,203,28,TRD Off-Road
Subaru,Outback,2021,Grey,21841,182,28,Premium
Subaru,Outback,2023,White,25724,182,28,Premium
Jeep,Grand Cherokee,2024,Black,32333,293,22,Laredo
BMW,X5,2020,Grey,47540,483,58,xDrive50e
Jeep,Wrangler,2023,White,27745,285,20,Sport
Toyota,Tacoma,2024,Pearl White,35920,278,20,TRD Sport
Ford,Bronco,2023,Burgundy,41967,275,17,Badlands
Mercedes-Benz,GLE,2022,Green,67026,429,20,AMG GLE 53
Chevrolet,Tahoe,2021,Charcoal,41357,355,17,LS
Jeep,Grand Cherokee,2022,Black,47250,293,22,Summit
Honda,CR-V,2023,Grey,27580,204,40,Sport Hybrid
Jeep,Wrangler,2020,Burgundy,62408,470,14,Rubicon 392
Volkswagen,Jetta,2023,White,18657,158,34,S
Toyota,Camry,2023,Blue,27322,203,31,XLE
Honda,CR-V,2021,Yellow,20062,190,30,LX
Nissan,Rogue,2020,White,24541,201,33,Platinum
Hyundai,Elantra,2024,White,20274,147,36,SE
Toyota,RAV4,2024,Yellow,29733,203,30,XLE
Jeep,Grand Cherokee,2022,Green,27431,293,22,Laredo
Nissan,Altima,2020,Red,19803,188,32,SR
Jeep,Grand Cherokee,2023,Matte Black,39104,293,22,Limited
Volkswagen,Jetta,2024,Yellow,20141,158,34,Sport
Volkswagen,Tiguan,2020,Red,27595,184,26,SEL R-Line
